Title,Type & Location,Price,Seller
4 BHK Villa in Palavakkam,4 BHK Villa,₹5.28 Cr - 7.39 Cr,Chennai Prop Experts
"2, 3 BHK Flats in ECR",2 BHK Flat,₹1.23 Cr - 1.23 Cr,PROPLEAF
Residential Plots in Panaiyur,N/A,₹1.9 Cr,Senthil Kumar S
"3, 4 BHK Villas in Neelankarai",3 BHK Villa,₹3.69 Cr - 4.7 Cr,N/A
4 BHK Villa in Injambakkam,4 BHK Villa,₹5.1 Cr - 5.63 Cr,N/A
Residential Plots in Neelankarai,N/A,₹2.6 Cr,N/A
"Studio, 1, 2 BHK Flat,Studio Flats in Muttukadu",1 BHK Flat,₹46.28 L,PROPLEAF
4 BHK Villa in Panaiyur,4 BHK Villa,₹5.76 Cr - 8.63 Cr,Senthil Kumar S
"2, 3, 4 BHK Flats in Muttukadu",2 BHK Flat,₹1.5 Cr - 1.52 Cr,Propfix Realty
Vintage Perungudi, 2 BHK Flat in Perungudi, ₹ 60.47L, Vintage Builders And Developers
Residential Plots in Thiruporur,N/A,₹60 L,Property Play Book
"3, 4 BHK Villas in Akkarai",3 BHK Villa,₹4.7 Cr - 4.7 Cr,gobroker
4 BHK Villa in Neelankarai,4 BHK Villa,₹3.5 Cr,Senthil Kumar S
4 BHK Villa in Akkarai,4 BHK Villa,₹2.98 Cr - 6.27 Cr,Propinfo
"3, 4 BHK Flats in Kottivakkam",3 BHK Flat,₹1.55 Cr - 2.2 Cr,gobroker
"2, 3 BHK Flats in Kanathur Reddikuppam",2 BHK Flat,₹1.11 Cr,Senthil Kumar S
"3, 4 BHK Flats in Perungudi",3 BHK Flat,₹2.56 Cr - 2.8 Cr,Senthil Kumar S
Residential Plots in J Nagar,N/A,₹1.84 Cr,Senthil Kumar S
"4, 5 BHK Villas in Injambakkam",4 BHK Villa,₹4.04 Cr,Propvista
"2, 3, 4, 5 BHK Flats in Egattur",2 BHK Flat,₹92.57 L - 1.23 Cr,PROPLEAF
"2, 3, 4 BHK Flats in ECR",2 BHK Flat,₹47 L - 1.3 Cr,Casagrand Sellassure
"2, 3 BHK Flats in Egattur",2 BHK Flat,₹96.96 L,Senthil Kumar S
4 BHK Villa in Neelankarai,4 BHK Villa,₹3.21 Cr - 3.61 Cr,Senthil Kumar S
Residential Plot in Kovalam,N/A,₹38.17 L,N/A
5 BHK Villa in Muttukadu,N/A,₹3.02 Cr,N/A
Residential Plot in Panaiyur,N/A,₹4.0 Cr,N/A
2 BHK Flat in Egattur,N/A,₹45.0 L,N/A
1 BHK Flat in Muttukadu,N/A,₹78.2 L,N/A
Residential Plot in Kovalam,N/A,₹57.75 L,N/A
4 BHK Villa in Panaiyur,N/A,₹4.4 Cr,N/A
3 BHK Villa in Kanathur Reddikuppam,N/A,₹3.25 Cr,N/A
